Market,continent,iso_alpha,STOCK EXCHANGE,Year,ESG GUIDANCE
Qatar,Asia,QAT,Qatar Stock Exchange,2021,Guidance on ESG Reporting
Qatar,Asia,QAT,Qatar Stock Exchange,2022,Guidance on ESG Reporting
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2016,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2017,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2018,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2019,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2020,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2021,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Spain,Europe,ESP,Bolsas y Mercados Espanoles,2022,Voluntary Market Guidance for Listed Companies for Corporate Reporting on ESG Information
Vietnam,Asia,VNM,Hanoi Stock Exchange,2016,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2017,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2018,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2019,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2020,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2021,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Hanoi Stock Exchange,2022,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2016,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2017,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2018,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2019,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2020,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2021,Environmental and Social Disclosure Guide
Vietnam,Asia,VNM,Ho Chi Minh Stock Exchange,2022,Environmental and Social Disclosure Guide
Brazil,South America,BRA,B3,2016,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2017,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2018,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2019,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2020,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2021,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Brazil,South America,BRA,B3,2022,"Novo Valor Corporate Sustainability: How to begin, who to involve, and what to prioritize"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2017,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2018,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2019,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2020,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2021,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Indonesia,Asia,IDN,Indonesia Stock Exchange,2022,"Application of Sustainable Finance for Financial Services Institutions, Issuers and Public Companies (in Indonesian)"
Mexico,North America,MEX,Bolsa Mexicana de Valores,2017,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Mexico,North America,MEX,Bolsa Mexicana de Valores,2018,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Mexico,North America,MEX,Bolsa Mexicana de Valores,2019,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Mexico,North America,MEX,Bolsa Mexicana de Valores,2020,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Mexico,North America,MEX,Bolsa Mexicana de Valores,2021,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Mexico,North America,MEX,Bolsa Mexicana de Valores,2022,Sustainability Guide: Towards Sustainable Development of Companies in Mexico
Morocco,Africa,MAR,Bourse de Casablanca,2017,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2017,"Environmental, Social and Governance: NZX Guidance Note"
Peru,South America,PER,Group BVL,2017,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2017,ESG Reporting Guide 2.0: A Support Resource for Companies
Morocco,Africa,MAR,Bourse de Casablanca,2018,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2018,"Environmental, Social and Governance: NZX Guidance Note"
Peru,South America,PER,Group BVL,2018,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2018,ESG Reporting Guide 2.0: A Support Resource for Companies
Morocco,Africa,MAR,Bourse de Casablanca,2019,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2019,"Environmental, Social and Governance: NZX Guidance Note"
Peru,South America,PER,Group BVL,2019,Gua de Usuario para facilitar el llenado del Reporte de Sostenibilidad Corporativa
Sweden,Europe,SWE,Nasdaq Stockholm,2019,ESG Reporting Guide 2.0: A Support Resource for Companies
Morocco,Africa,MAR,Bourse de Casablanca,2020,Guide sur la Responsabilit Socitale des Enterprises et le reporting ESG
New Zealand,Oceania,NZL,New Zealand Stock Exchange,2020,"Environmental, Social and Governance: NZX Guidance Note"
