Date,Open,High,Low,Close,Adj Close,Volume
2011-01-01,34.939999,35.430000,34.400002,35.049999,26.936348,45903600
2011-01-08,34.950001,35.950001,34.459999,35.080002,26.959410,43782400
2011-01-15,34.889999,35.810001,34.209999,35.410000,27.213018,34773200
2011-01-22,35.320000,35.900002,34.680000,34.799999,26.839708,43554300
2011-01-29,33.740002,35.299999,32.270000,32.669998,25.196917,106450600
2011-02-05,32.630001,33.759998,32.360001,33.029999,25.474577,61418900
2011-02-12,32.889999,33.150002,32.410000,33.060001,25.497715,60688100
2011-02-19,32.480000,33.049999,32.080002,32.939999,25.405161,43265500
2011-02-26,32.849998,33.759998,32.730000,33.009998,25.459152,53592900
2011-03-05,33.160000,34.250000,32.750000,34.000000,26.222691,46240500
2011-03-12,33.869999,33.959999,32.500000,33.610001,25.921909,59931800
2011-03-19,33.860001,34.180000,33.220001,33.889999,26.137861,38685300
2011-03-26,34.020000,34.959999,33.380001,34.959999,26.963102,42962900
2011-04-02,34.820000,36.910000,34.529999,36.230000,27.942593,54157900
2011-04-09,36.009998,36.459999,35.430000,35.869999,27.664944,45828500
2011-04-16,35.520000,36.340000,35.200001,36.209999,27.927172,23894500
2011-04-23,36.049999,36.630001,35.930000,36.220001,28.033400,34197200
2011-04-30,36.410000,37.279999,35.730000,37.020000,28.652584,47999000
2011-05-07,37.070000,38.250000,36.990002,38.130001,29.511688,35023700
2011-05-14,38.009998,38.709999,37.770000,38.400002,29.720669,33124800
2011-05-21,38.070000,39.500000,37.810001,38.799999,30.030249,56890800
2011-05-28,39.070000,39.150002,37.869999,37.970001,29.387854,42503900
2011-06-04,37.860001,38.040001,37.150002,37.209999,28.799627,40055300
2011-06-11,37.299999,38.000000,36.990002,37.330002,28.892506,38035900
2011-06-18,37.250000,38.119999,36.290001,36.419998,28.188190,48599300
2011-06-25,36.470001,38.029999,36.110001,37.970001,29.387854,30566500
2011-07-02,37.840000,38.700001,37.500000,38.099998,29.488468,24043200
2011-07-09,37.610001,37.930000,36.540001,36.820000,28.497778,31927200
2011-07-16,36.709999,38.820000,36.349998,37.349998,28.907988,52504900
2011-07-23,37.119999,37.310001,35.970001,36.349998,28.229069,39583000
2011-07-30,36.779999,37.160000,33.250000,34.150002,26.520576,73055600
2011-08-06,33.110001,33.700001,31.299999,33.250000,25.821642,75961300
2011-08-13,33.419998,34.759998,32.349998,32.369999,25.138237,48967600
2011-08-20,33.049999,34.900002,32.139999,34.340000,26.668125,49670300
2011-08-27,34.750000,36.369999,34.610001,35.430000,27.514618,41796300
2011-09-03,34.430000,37.459999,34.259998,36.500000,28.345564,43741800
2011-09-10,36.040001,37.209999,36.020000,36.220001,28.128120,63634300
2011-09-17,35.750000,36.340000,33.889999,34.130001,26.505041,59728300
2011-09-24,34.209999,35.430000,33.439999,33.590000,26.085686,59765700
2011-10-01,33.509998,34.070000,32.279999,33.779999,26.233234,71843900
2011-10-08,34.240002,35.180000,34.049999,35.130001,27.281633,49964800
2011-10-15,34.900002,35.549999,34.279999,35.549999,27.607801,43055700
2011-10-22,35.570000,37.500000,35.450001,36.840000,28.711714,48139900
2011-10-29,36.320000,38.099998,35.090000,38.020000,29.631346,60188000
2011-11-05,38.049999,39.400002,37.560001,39.240002,30.582169,61461200
2011-11-12,39.020000,39.259998,37.950001,38.160000,29.740471,45611200
2011-11-19,37.779999,38.150002,36.849998,36.849998,28.719500,35199700
2011-11-26,37.599998,39.299999,37.119999,38.290001,29.841795,49057200
2011-12-03,38.650002,38.750000,37.610001,38.369999,29.904133,37441700
2011-12-10,38.279999,38.500000,36.980000,37.549999,29.265057,52071400
2011-12-17,37.630001,41.240002,36.439999,40.990002,31.946062,74154600
2011-12-24,40.810001,41.349998,40.599998,40.779999,31.782398,20355300
2011-12-31,41.299999,41.849998,41.009998,41.459999,32.312363,32632500
2012-01-07,41.279999,42.400002,41.209999,42.150002,32.850124,33518500
2012-01-14,42.320000,43.169998,42.180000,42.770000,33.333317,33559700
2012-01-21,42.820000,43.150002,41.750000,42.259998,33.060879,34910800
2012-01-28,42.000000,43.980000,41.480000,43.509998,34.038784,37529100
2012-02-04,43.259998,44.090000,42.680000,43.180000,33.780636,46661800
2012-02-11,43.259998,45.000000,42.430000,44.270000,34.633358,38839100
2012-02-18,44.470001,44.500000,43.549999,44.070000,34.476879,24733000
2012-02-25,43.720001,45.389999,43.720001,45.029999,35.227909,36896300
2012-03-03,44.980000,45.709999,44.650002,45.639999,35.705128,29543800
2012-03-10,45.770000,45.770000,44.529999,45.279999,35.423496,38272600
2012-03-17,45.139999,45.400002,44.480000,45.139999,35.313976,24717300
2012-03-24,45.349998,45.880001,43.930000,44.799999,35.047985,34591600
2012-03-31,44.200001,45.189999,44.070000,44.619999,34.907154,24659300
2012-04-07,44.169998,44.250000,43.299999,43.430000,33.976204,38937300
2012-04-14,43.439999,44.490002,43.250000,44.330002,34.680286,46788000
2012-04-21,43.860001,45.240002,43.080002,44.880001,35.242325,37685700
2012-04-28,44.900002,46.220001,44.340000,45.419998,35.666351,45185500
2012-05-05,45.389999,46.200001,44.689999,45.320000,35.587833,39087600
2012-05-12,45.110001,45.750000,44.380001,44.430000,34.888958,44723800
2012-05-19,44.560001,45.540001,44.389999,44.980000,35.320850,34887000
2012-05-26,45.169998,45.709999,43.430000,43.599998,34.237190,37758300
2012-06-02,43.610001,45.189999,43.299999,44.889999,35.250175,30794900
2012-06-09,45.070000,46.099998,44.389999,45.650002,35.846970,33159400
2012-06-16,45.540001,46.419998,45.320000,45.900002,36.043285,42130900
2012-06-23,45.619999,46.930000,44.860001,46.730000,36.695045,29017200
2012-06-30,46.889999,48.310001,46.730000,48.119999,37.786552,23721300
2012-07-07,47.970001,48.200001,46.619999,48.049999,37.731590,38915500
2012-07-14,47.889999,48.689999,44.590000,45.080002,35.399364,65453100
2012-07-21,44.869999,45.369999,44.340000,44.939999,35.408169,39494600
2012-07-28,44.880001,45.639999,43.840000,44.750000,35.258457,41237100
2012-08-04,45.009998,46.000000,43.650002,44.950001,35.416054,53441900
2012-08-11,44.759998,45.610001,43.950001,45.310001,35.699688,35410500
2012-08-18,45.540001,45.980000,45.240002,45.560001,35.896667,28172000
2012-08-25,45.480000,45.820000,45.070000,45.549999,35.888790,20204600
2012-09-01,45.500000,46.820000,45.430000,46.060001,36.290607,22180200
2012-09-08,46.040001,47.619999,45.860001,46.970001,37.007607,25811100
2012-09-15,46.990002,48.150002,46.590000,47.869999,37.716717,31947800
2012-09-22,47.750000,48.459999,47.430000,48.419998,38.150047,28544500
2012-09-29,48.509998,49.230000,48.290001,48.860001,38.496723,28045100
2012-10-06,48.849998,48.939999,46.750000,47.080002,37.094273,29101600
2012-10-13,47.230000,47.470001,46.060001,46.200001,36.400913,32417100
2012-10-20,46.130001,46.450001,45.590000,46.060001,36.417854,27085700
2012-10-27,46.299999,46.910000,46.040001,46.560001,36.813198,19777800
2012-11-03,46.259998,47.779999,45.930000,46.360001,36.655064,43441200
2012-11-10,46.599998,46.930000,44.330002,44.799999,35.421623,39704300
2012-11-17,45.080002,45.860001,44.950001,45.830002,36.236008,20990200
2012-11-24,45.570000,46.650002,45.070000,46.509998,36.773655,34288300
2012-12-01,46.529999,46.900002,45.810001,46.840000,37.034569,26888600
2012-12-08,46.840000,49.799999,46.840000,49.240002,38.932163,46523800
2012-12-15,49.320000,49.410000,48.160000,48.669998,38.481483,39794300
2012-12-22,48.480000,48.880001,47.900002,47.919998,37.888489,11865800
2012-12-29,47.759998,50.099998,47.650002,49.990002,39.525158,25692900
2013-01-05,49.630001,51.389999,49.439999,51.299999,40.560936,29900000
2013-01-12,51.410000,52.419998,51.150002,52.110001,41.201378,26916000
2013-01-19,51.840000,52.730000,51.560001,51.860001,41.003700,25890500
2013-01-26,51.209999,51.840000,50.900002,51.580002,40.959167,29074900
2013-02-02,51.419998,52.200001,50.919998,51.200001,40.657417,31292200
2013-02-09,51.250000,52.099998,50.810001,51.119999,40.593880,26807300
2013-02-16,51.380001,52.770000,51.240002,51.349998,40.776520,23839600
2013-02-23,51.689999,51.970001,50.209999,51.560001,40.943283,22665400
2013-03-02,51.400002,52.689999,51.250000,52.279999,41.515030,21180900
2013-03-09,52.270000,53.610001,51.770000,53.580002,42.547356,30253300
2013-03-16,53.200001,55.349998,53.029999,55.200001,43.833767,38074000
2013-03-23,55.270000,56.070000,54.759998,54.990002,43.667004,31939100
2013-03-30,54.750000,55.660000,53.939999,55.639999,44.183178,31909500
2013-04-06,55.650002,58.290001,55.200001,57.520000,45.676056,27716900
2013-04-13,57.330002,58.130001,56.299999,58.000000,46.057224,30873000
2013-04-20,58.029999,58.500000,57.349998,57.730000,46.024906,21885500
2013-04-27,57.939999,59.369999,57.369999,58.639999,46.750393,29677000
2013-05-04,58.419998,58.849998,57.200001,58.029999,46.264088,25862900
2013-05-11,57.990002,60.660000,57.849998,59.439999,47.388199,29488200
2013-05-18,59.380001,59.950001,57.799999,59.200001,47.196854,22243100
2013-05-25,59.709999,60.700001,57.580002,57.580002,45.905319,20338200
2013-06-01,57.759998,58.810001,56.590000,58.490002,46.630825,24809900
2013-06-08,58.540001,59.950001,58.049999,59.029999,47.061337,21661700
2013-06-15,59.450001,60.340000,56.820000,57.570000,45.897354,25472400
2013-06-22,57.099998,57.959999,55.660000,57.180000,45.586426,28964400
2013-06-29,57.720001,58.759998,57.320000,58.639999,46.750393,16158100
2013-07-06,58.980000,61.250000,58.720001,60.950001,48.592041,20302300
2013-07-13,61.080002,61.700001,60.279999,61.630001,49.134155,16591400
2013-07-20,61.669998,62.360001,61.139999,61.959999,49.580284,13304600
2013-07-27,61.639999,62.220001,60.759998,61.840000,49.484257,18653100
2013-08-03,62.040001,62.070000,58.270000,59.480000,47.595783,29602400
2013-08-10,59.029999,60.480000,58.340000,58.570000,46.867603,23335100
2013-08-17,58.360001,59.689999,57.970001,57.970001,46.387505,24200700
2013-08-24,57.950001,58.790001,57.070000,58.049999,46.451508,24462600
2013-08-31,58.439999,59.029999,57.950001,58.630001,46.915627,17167300
2013-09-07,58.730000,60.020000,58.340000,59.900002,47.931870,22046900
2013-09-14,60.389999,61.330002,58.290001,58.529999,46.835609,38550000
2013-09-21,58.349998,58.689999,57.639999,57.799999,46.251453,25182400
2013-09-28,57.470001,57.930000,56.320000,56.880001,45.515278,34045400
2013-10-05,56.349998,59.599998,56.340000,59.570000,47.667809,33506500
2013-10-12,59.150002,61.230000,57.849998,61.009998,48.820087,30378900
2013-10-19,60.860001,62.910000,60.290001,61.410000,49.327785,32100300
2013-10-26,61.680000,62.900002,61.450001,62.590000,50.275623,26267400
2013-11-02,62.709999,64.440002,61.930000,63.779999,51.231499,36273500
2013-11-09,63.869999,65.699997,63.549999,65.620003,52.709484,19906800
2013-11-16,65.599998,66.709999,65.150002,66.680000,53.560921,20928200
2013-11-23,66.709999,67.639999,66.059998,66.959999,53.785824,17987800
2013-11-30,67.099998,67.500000,65.449997,66.750000,53.617153,22704600
2013-12-07,66.879997,68.730003,66.209999,67.309998,54.066967,30899800
2013-12-14,67.650002,70.870003,66.769997,70.059998,56.275917,42081900
2013-12-21,70.500000,71.989998,70.120003,71.559998,57.480801,10357800
2013-12-28,71.389999,71.970001,70.180000,70.550003,56.669510,13186500
2014-01-04,70.750000,70.830002,68.830002,69.510002,55.834133,27757000
2014-01-11,69.330002,69.680000,67.760002,67.970001,54.597111,25732700
2014-01-18,68.610001,69.660004,67.629997,67.629997,54.324005,24194000
2014-01-25,67.660004,68.779999,66.070000,67.720001,54.617290,33236500
2014-02-01,67.519997,67.669998,64.949997,66.440002,53.584942,35380700
2014-02-08,66.419998,70.190002,66.360001,69.900002,56.375492,39304700
2014-02-15,70.480003,71.660004,69.919998,71.199997,57.423946,23009200
2014-02-22,71.470001,73.620003,71.349998,73.139999,58.988598,27600000
2014-03-01,72.589996,73.889999,72.260002,73.480003,59.262817,23563900
2014-03-08,73.419998,73.699997,72.050003,72.750000,58.674057,23412600
2014-03-15,72.800003,74.949997,72.800003,74.949997,60.448380,33691700
2014-03-22,74.510002,76.360001,73.730003,74.260002,59.891903,32035800
2014-03-29,74.809998,76.000000,73.849998,74.690002,60.238693,24324500
2014-04-05,74.800003,75.410004,72.370003,72.580002,58.536942,31604800
2014-04-12,73.169998,74.239998,72.379997,73.739998,59.472515,20449200
2014-04-19,73.629997,74.040001,72.970001,73.239998,59.289848,23363300
2014-04-26,73.709999,74.570000,72.430000,73.860001,59.791771,35374300
2014-05-03,73.750000,76.440002,73.339996,76.279999,61.750839,26433300
2014-05-10,76.500000,77.129997,74.739998,76.570000,61.985569,19803200
2014-05-17,76.269997,77.410004,75.809998,77.120003,62.430836,16656700
2014-05-24,77.300003,78.489998,77.000000,78.320000,63.402248,15099900
2014-05-31,78.360001,79.430000,77.370003,78.919998,63.887974,14277500
2014-06-07,78.820000,78.849998,75.370003,75.860001,61.410820,15605200
2014-06-14,75.750000,77.879997,75.580002,76.790001,62.163677,20916900
2014-06-21,76.769997,76.779999,74.639999,75.720001,61.297497,24961400
2014-06-28,75.739998,76.930000,75.209999,76.830002,62.196068,12143900
2014-07-05,76.610001,77.029999,76.040001,76.900002,62.252724,14065700
2014-07-12,77.129997,77.849998,76.089996,77.470001,62.714188,14237500
2014-07-19,76.989998,79.209999,76.550003,79.120003,64.279350,15256900
2014-07-26,79.000000,79.150002,76.199997,76.489998,62.142681,20534300
2014-08-02,76.519997,78.959999,74.690002,77.809998,63.215061,32740200
2014-08-09,78.019997,79.500000,77.949997,78.910004,64.108757,15126700
2014-08-16,79.160004,79.820000,78.900002,79.239998,64.376862,13141800
2014-08-23,79.440002,79.800003,78.900002,79.449997,64.547478,11548600
2014-08-30,79.470001,81.650002,79.220001,81.639999,66.326691,14569400
2014-09-06,81.720001,82.120003,80.330002,80.570000,65.457405,16752100
2014-09-13,81.050003,82.570000,80.900002,81.370003,66.107338,22478600
2014-09-20,81.230003,81.279999,79.610001,80.290001,65.229912,19303500
2014-09-27,79.739998,81.400002,79.019997,81.330002,66.074821,25976800
2014-10-04,81.559998,83.449997,80.839996,82.480003,67.009117,25232000
2014-10-11,82.519997,82.519997,77.400002,79.959999,64.961784,37277700
2014-10-18,80.059998,84.449997,79.849998,84.290001,68.479614,22772000
2014-10-25,84.290001,87.160004,84.209999,85.809998,69.949783,19682200
2014-11-01,86.029999,88.480003,83.610001,88.379997,72.044762,24624100
2014-11-08,88.110001,90.250000,87.919998,89.129997,72.656143,18598900
2014-11-15,89.129997,90.449997,88.940002,89.330002,72.819183,19853300
